"TOPICDETAILID";"TOPICDETAILNAME";"TOPICID";"CLASSNAME"
7112;"Factors";711;"Grade7Factors"
7113;"Prime Factors";711;"Grade7PrimeFactors"
7114;"Highest Common Factors";711;"Grade7HCF"
7115;"LCM";711;"Grade7LCM"
7116;"Square and Square Roots";711;"G7SquareAndRoots"
7117;"Integer Operation-1";711;"G7IntegerOperation1"
7118;"Integer Operation-2";711;"G7IntegerOperation2"
7131;"Simple Fraction Addition";713;"Grade7AddFraction"
7132;"Fraction Addition & Subtraction";713;"Grade7AddSubFraction"
7133;"Mixed Type Add & Sub";713;"Grade7FractionMixedNumber"
7134;"Find the Missing Fraction";713;"Grade7FractionMissingNumber"
7135;"Add Fraction with Whole Number";713;"G7AddFracWholeNumber"
7141;"Multiply Simple Fraction";714;"Grade7MultiplyFraction"
7142;"Find Missing Fraction";714;"G7MultiplyMissingFrac"
7143;"Fraction Statement Evaluation";714;"G7FracStmtEval"
7144;"Mixed Fraction Operation";714;"G7DivisionFraction"
7145;"Divide Simple Fraction";714;"G7DivideSimpleFraction"
7151;"Simplify Fraction";715;"G7SimplifyFraction"
7152;"Compare Fraction";715;"G7CompareFraction"
7153;"Convert to Mixed Fraction";715;"G7ConvToMixedFraction"
7154;"Identify Type of Fraction";715;"G7IdentifyFractionType"
7155;"Convert Decimal to Fraction";715;"G7ConvtDecimalToFraction"
7161;"Decimal Addition";716;"G7DecimalAddition"
7162;"Decimal Subtraction";716;"G7DecimalSubtraction"
7163;"Decimal Multiplication";716;"G7DecimalMultiplication"
7164;"Decimal Division";716;"G7DecimalDivision"
7165;"Decimal Mixed Operation";716;"G7DecimalMixedOp"
7171;"Exponent Evaluation";717;"G7ExponentEvaluation"
7172;"Solve Equation with Exponents";717;"G7SolveExponentEquation"
7173;"Base of Exponent";717;"G7ExponentBase"
7174;"Exponent of Negative Numbers";717;"G7ExponentNegative"
7175;"Exponent Expression";717;"G7ExponentExpression"
7176;"Exponent of Decimals & Fractions";717;"G7ExponentDecimalFraction"
7181;"Area of Polygons- Triangles";718;"G7Areas"
7182;"Area of Polygons-2";718;"G7AreasPolygons"
7183;"Surface Area";718;"G7AreasSurface"
7191;"Percentage- Basic";719;"G7PCTInteger"
7192;"Percentage- Word Problems";719;"G7PCTDecimal"
7193;"Discount and Interest Rates";719;"G7PCTFraction"
7201;"Conversion of Length Units";720;"G7UnitLnConv"
7202;"Conversion of Unit Systems";720;"G7UnitConvSys"
7203;"Mass and Weight Measurement";720;"G7UnitVolAndMass"
7211;"Simple Equations";721;"G7SimpleEquations"
7212;"Algebric Expression Writing";721;"G7AlgExpWrite"
7213;"Expression Evaluation";721;"G7AlgebricExpEval1"
7221;"Mean, Median and Mode";722;"G7StatMeanBasic"
7222;"Word Problems";722;"G7StatWordProblem"
7231;"Experimental Probability";723;"G7ExpProb"
7241;"Coordinate Geometry";724;"G7Coordinate"
7251;"Triangles- 1";725;"G7Triangles"
7252;"Triangles- 2";725;"G7Triangles2"
7253;"Lines and Angles";725;"G7Lines"
8111;"Square Roots of Integers";811;"G8SqrInteger"
8112;"Square Root of Fractions";811;"G8SqrFrac"
8113;"Square Root of Decimals";811;"G8SqrDecimal"
8121;"Basic Exponents";812;"G8ExponentBasics"
8122;"Exponent Operations";812;"G8ExponentOperation"
8123;"Exponent Operation- Advance";812;"G8ExpOperationAdv"
8131;"Convert to Scientific Notation";813;"G8SciNotConv"
8134;"Convert From Scientific Notation";813;"G8SciNotFrom"
8141;"Addition and Subtraction";814;"G8PolyAdd"
8142;"Multiplication and Division";814;"G8PolyMultiply"
8151;"Evaluate Expression";815;"G8IntEval1"
8152;"Operator Precedence";815;"G8IntEval2"
8153;"Operator Precedence- Advance";815;"G8IntEval3"
8154;"Find Missing Value";815;"G8IntEval4"
8161;"Peremeters";816;"G8P1Peremeter"
8171;"Simplify Expression";817;"G8AgExpression"
8181;"Addition and Subtraction";818;"G8DecimalFractionAdd"
8182;"Multiplication and Division";818;"G8DecimalMultiDivi"
8183;"Mixed Operation";818;"G8DecimalMixed"
8191;"Simple Ratios";819;"G8RatioSimple"
8201;"Angles";820;"G8Angles"
